name;type;L;ANGLE;K1;K2;K3;E1;E2;N_SLICES
DQ1B;CSBEND;1.0;0.0247680586728496;-1.960219550894432;;;0.0116800000098724;0.0116800000098724;5.0
DQ1D;CSBEND;1.0;0.0247680586728496;-1.960219550894432;;;0.0116800000098724;0.0116800000098724;5.0
DQ2C_1;CSBEND;0.4000010270435126;0.00523006;-1.558437304101693;;;0.00628;;5.0
DQ2C_2;CSBEND;0.4000010270435126;0.00523006;-1.558437304101693;;;;0.00628;5.0
DR_01_0P900;EDRIFT;0.9866764273798962;;;;;;;
DR_01_2P651;EDRIFT;2.738076427379896;;;;;;;
DR_02I;EDRIFT;1.035444954657576;;;;;;;
DR_02_001;EDRIFT;0.051;;;;;;;
DR_03;EDRIFT;0.11;;;;;;;
DR_03I;EDRIFT;0.051;;;;;;;
DR_03J;EDRIFT;0.051;;;;;;;
DR_04;EDRIFT;0.23;;;;;;;
DR_04I;EDRIFT;0.031;;;;;;;
DR_04J;EDRIFT;0.031;;;;;;;
DR_05;EDRIFT;0.047;;;;;;;
DR_05I;EDRIFT;0.149;;;;;;;
DR_05J;EDRIFT;0.149;;;;;;;
DR_06;EDRIFT;0.047;;;;;;;
DR_06I;EDRIFT;0.047;;;;;;;
DR_06J;EDRIFT;0.047;;;;;;;
DR_07;EDRIFT;0.075;;;;;;;
DR_07I;EDRIFT;0.127;;;;;;;
DR_07J;EDRIFT;0.127;;;;;;;
DR_08;EDRIFT;0.5448534346120294;;;;;;;
DR_08I;EDRIFT;0.047;;;;;;;
DR_08J;EDRIFT;0.047;;;;;;;
DR_09;EDRIFT;0.056;;;;;;;
DR_09I;EDRIFT;0.047;;;;;;;
DR_09J;EDRIFT;0.047;;;;;;;
DR_10;EDRIFT;0.075;;;;;;;
DR_10I;EDRIFT;0.075;;;;;;;
DR_10J;EDRIFT;0.075;;;;;;;
DR_11;EDRIFT;0.075;;;;;;;
DR_11I_;EDRIFT;0.0798738313376863;;;;;;;
DR_11J;EDRIFT;0.0798738313376863;;;;;;;
DR_12;EDRIFT;0.06;;;;;;;
DR_12I;EDRIFT;0.025;;;;;;;
DR_12J;EDRIFT;0.025;;;;;;;
DR_13;EDRIFT;0.056;;;;;;;
DR_14;EDRIFT;0.3948534313376864;;;;;;;
DR_15;EDRIFT;0.075;;;;;;;
DR_16;EDRIFT;0.047;;;;;;;
DR_17;EDRIFT;0.094;;;;;;;
DR_18;EDRIFT;0.056;;;;;;;
DR_19;EDRIFT;0.1040182611608271;;;;;;;
DR_20;EDRIFT;0.1040182611608271;;;;;;;
DR_21;EDRIFT;0.0710706;;;;;;;
DR_22;EDRIFT;0.037;;;;;;;
DR_23;EDRIFT;0.056;;;;;;;
DR_24;EDRIFT;0.056;;;;;;;
DR_25;EDRIFT;0.2080706;;;;;;;
DR_26;EDRIFT;0.1040182611608271;;;;;;;
DR_27;EDRIFT;0.1040182611608271;;;;;;;
DR_28;EDRIFT;0.056;;;;;;;
DR_29;EDRIFT;0.094;;;;;;;
DR_30;EDRIFT;0.047;;;;;;;
DR_31;EDRIFT;0.075;;;;;;;
DR_32;EDRIFT;0.3948534313376864;;;;;;;
DR_33;EDRIFT;0.056;;;;;;;
DR_34;EDRIFT;0.06;;;;;;;
DR_35;EDRIFT;0.075;;;;;;;
DR_36;EDRIFT;0.075;;;;;;;
DR_37;EDRIFT;0.056;;;;;;;
DR_38_CT;EDRIFT;0.5448534346120294;;;;;;;
DR_38_H_SCRAPER;EDRIFT;0.5448534346120294;;;;;;;
DR_39;EDRIFT;0.075;;;;;;;
DR_40;EDRIFT;0.047;;;;;;;
DR_41;EDRIFT;0.047;;;;;;;
DR_42;EDRIFT;0.23;;;;;;;
DR_43;EDRIFT;0.11;;;;;;;
DR_44;EDRIFT;0.051;;;;;;;
DR_45_2P651;EDRIFT;2.738076427379896;;;;;;;
DR_99;EDRIFT;0.44;;;;;;;
JL1A_1;CSBEND;0.4178284773575361;0.0049331757666895;;;;0.002536990816;0.002536990816;5.0
JL1A_2;CSBEND;0.4178284773575361;0.0049331757666895;;;;-0.005073981632;0.010147963264;5.0
JL1A_3;CSBEND;0.4178284773575361;0.0049331757666895;;;;;0.005073981632;5.0
JL1A_4;CSBEND;0.4178284773575361;0.0049331757666895;;;;0.005073981632;;5.0
JL1A_5;CSBEND;0.4178284773575361;0.0049331757666895;;;;0.010147963264;-0.005073981632;5.0
JL1E_1;CSBEND;0.4178284773575361;0.0049331757666895;;;;0.002536990816;0.002536990816;5.0
JL1E_2;CSBEND;0.4178284773575361;0.0049331757666895;;;;0.010147963264;-0.005073981632;5.0
JL1E_3;CSBEND;0.4178284773575361;0.0049331757666895;;;;0.005073981632;;5.0
JL1E_4;CSBEND;0.4178284773575361;0.0049331757666895;;;;;0.005073981632;5.0
JL1E_5;CSBEND;0.4178284773575361;0.0049331757666895;;;;-0.005073981632;0.010147963264;5.0
OD1B;KOCT;0.09;;;;-13200.0;;;5.0
OD1D;KOCT;0.09;;;;-13200.0;;;5.0
OJ1B;KOCT;0.09;;;;-13632.0;;;5.0
OJ1D;KOCT;0.09;;;;-13632.0;;;5.0
QD2A;KQUAD;0.162;;-2.970346620956298;;;;;5.0
QD2E;KQUAD;0.162;;-2.970346620956298;;;;;5.0
QD2J;KQUAD;0.212;;-1.255104854143336;;;;;5.0
QD2L;KQUAD;0.162;;-2.980093518332267;;;;;5.0
QD3A;KQUAD;0.212;;-2.33434250527587;;;;;5.0
QD3E;KQUAD;0.212;;-2.33434250527587;;;;;5.0
QD3J;KQUAD;0.295;;-2.627719678759729;;;;;5.0
QD3L;KQUAD;0.212;;-2.334917305684217;;;;;5.0
QD5B;KQUAD;0.212;;-2.522513601694652;;;;;5.0
QD5D;KQUAD;0.212;;-2.522513601694652;;;;;5.0
QF1A;KQUAD;0.295;;2.462177415336321;;;;;5.0
QF1E;KQUAD;0.295;;2.462177415336321;;;;;5.0
QF1J;KQUAD;0.212;;1.526537694384322;;;;;5.0
QF1L;KQUAD;0.295;;2.477981995782413;;;;;5.0
QF2J;KQUAD;0.212;;2.087762916419854;;;;;5.0
QF4A;KQUAD;0.212;;2.466295505763048;;;;;5.0
QF4B;KQUAD;0.212;;2.466295505763048;;;;;5.0
QF4D;KQUAD;0.212;;2.466295505763048;;;;;5.0
QF4E;KQUAD;0.212;;2.466295505763048;;;;;5.0
QF4J;KQUAD;0.212;;2.533236641777753;;;;;5.0
QF4L;KQUAD;0.212;;2.465928496997126;;;;;5.0
QF6B;KQUAD;0.3745;;4.489764881942396;;;;;5.0
QF6D;KQUAD;0.3745;;4.489764881942396;;;;;5.0
QF8B;KQUAD;0.4975;;4.581633303364379;;;;;5.0
QF8D;KQUAD;0.4975;;4.581633303364379;;;;;5.0
SBM;CSBEND;0.0488588;0.00104994;;;;0.00052497;0.00052497;5.0
SD1A;KSEXT;0.166;;;-136.1950802309929;;;;5.0
SD1B;KSEXT;0.166;;;-209.9895951915728;;;;5.0
SD1D;KSEXT;0.166;;;-211.1297316830317;;;;5.0
SD1E;KSEXT;0.166;;;-136.1950802317714;;;;5.0
SF2A;KSEXT;0.2;;;174.395466070655;;;;5.0
SF2E;KSEXT;0.2;;;174.3954660711557;;;;5.0
SH1A;KSEXT;0.1;;;;;;;5.0
SH2B;KSEXT;0.1;;;;;;;5.0
SH3E;KSEXT;0.1;;;;;;;5.0
SJ1A;KSEXT;0.166;;;-138.4272648038526;;;;5.0
SJ1B;KSEXT;0.166;;;-216.2154479417158;;;;5.0
SJ1D;KSEXT;0.166;;;-207.8206896815411;;;;5.0
SJ1E;KSEXT;0.166;;;-142.550212960135;;;;5.0
SJ2A;KSEXT;0.2;;;184.9066850657073;;;;5.0
SJ2E;KSEXT;0.2;;;185.4153976539467;;;;5.0
